CountyName,HUC_8,area_ha_piece,county_area_ha,frac_of_county
Plymouth,10230003,1317.8504562163737,223998.27985485262,0.005883306144450396
Plymouth,10230004,62771.76280189427,223998.27985485262,0.2802332359095319
Pocahontas,07100002,30957.801335613178,149836.3303692739,0.20661078163965446
Pocahontas,07100004,67168.54667024667,149836.3303692739,0.44827944267394143
Pocahontas,07100006,51709.98236341399,149836.3303692739,0.34510977568640366
Polk,07080105,27743.88121227779,153202.91960914305,0.18109237919916282
Polk,07100004,40322.438507030216,153202.91960914305,0.26319627987444566
Polk,07100006,18754.45099208548,153202.91960914305,0.1224157544773463
Polk,07100008,66382.14889774949,153202.91960914305,0.4332955864490447
Pottawattamie,10230006,82001.09536293507,248458.36730458436,0.33003958068520256
Pottawattamie,10230007,4360.081142540068,248458.36730458436,0.017548538170964707
Pottawattamie,10240001,23513.811068671483,248458.36730458436,0.0946388375797623
Pottawattamie,10240002,129819.78468453287,248458.36730458436,0.5225011582137107
Pottawattamie,10240003,8763.595045904822,248458.36730458436,0.03527188535035955
Poweshiek,07080106,36998.80908619064,151753.5053787458,0.24380859601133537
Poweshiek,07080208,66629.36248869418,151753.5053787458,0.43906308669708083
Poweshiek,07080209,48125.200002795485,151753.5053787458,0.31712743559158524
Ringgold,10240012,20868.395009165524,139440.1126990825,0.14965847778824146
Ringgold,10240013,9.702059725898373,139440.1126990825,6.95786853445523e-05
Ringgold,10280101,108485.02093803583,139440.1126990825,0.7780043980038296
Ringgold,10280102,10076.994692155436,139440.1126990825,0.07226754552258578
Sac,07100006,73680.20741549655,149779.41564478568,0.49192478885239665
Sac,07100007,26.545980729215295,149779.41564478568,0.0001772338382743547
Sac,10230005,22960.859929399237,149779.41564478568,0.153297833554464
Sac,10230007,53111.80231916065,149779.41564478568,0.3546001437548648
Scott,07080101,49463.470228467784,121341.32975894422,0.40763909812700705
Scott,07080103,64743.93515056493,121341.32975894422,0.5335686964959486
Scott,07080206,7133.9243799115275,121341.32975894422,0.05879220537704448
Shelby,10230006,24501.027681927008,153150.37859412323,0.15998019663313567
Shelby,10230007,8848.884185133911,153150.37859412323,0.057779055242070845
Shelby,10240001,10114.022857058622,153150.37859412323,0.06603981622443553
Shelby,10240002,92177.16483480124,153150.37859412323,0.6018735681946157
Shelby,10240003,17509.279035202635,153150.37859412323,0.11432736370574346
Sioux,10170203,62675.5318906316,199304.38081702043,0.31447142121865074
Sioux,10170204,41109.89871883005,199304.38081702043,0.20626690969012207
Sioux,10230002,95518.95020755862,199304.38081702043,0.4792616690912264
